x1,x2,y_type,y_score
to 35,to 112,SIMI,2
Death toll,Death toll,EQUI,5
,Wawrinka,NOALI,NIL
,reaches,NOALI,NIL
Mars rover,,NOALI,NIL
collects,,NOALI,NIL
first bedrock sample,,NOALI,NIL
,first grand slam final,NOALI,NIL
border,,NOALI,NIL
to cross,,NOALI,NIL
South Korean soldiers,to South,REL,2
man,,NOALI,NIL
,Shuts,NOALI,NIL
kill,,NOALI,NIL
into North,North Korea,EQUI,5
,Last Remaining Hotline,NOALI,NIL
trying,,NOALI,NIL
,wont visit,NOALI,NIL
remains,,NOALI,NIL
meets,to meet,EQUI,5
Mandela family,Mandela family,EQUI,5
as icon,,NOALI,NIL
in hospital,hospital,EQUI,5
Obama,Obamas,EQUI,5
down,up,OPPO,4
dollar,dollar,EQUI,5
8 paise,22 paise,SIMI,3
Rupee,Rupee,EQUI,5
in early trade,in early trade,EQUI,5
vs,against,EQUI,5
open,close,OPPO,4
Indian stocks,Indian stocks,EQUI,5
lower,lower,EQUI,5
man,,NOALI,NIL
,South African police,NOALI,NIL
,in farm protest,NOALI,NIL
,arrest,NOALI,NIL
,50,NOALI,NIL
in ricin probe,,NOALI,NIL
US authorities,,NOALI,NIL
charge,,NOALI,NIL
as Bangladesh building toll,as Bangladesh building toll,EQUI,5
arrested,arrested,EQUI,5
to 352,372,SIMI,3
rises,reaches,EQUI,5
Four,Owner,SPE2,2
along Kashmir line,,NOALI,NIL
Pakistani soldier,Pakistani military post,REL,3
of control,,NOALI,NIL
kill,raid,SPE1,3
Indian troops,Indian troops,EQUI,5
Brazilian leader,Brazil leader,EQUI,5
,promises,NOALI,NIL
crisis talks,reform vote,REL,1
on street protests,,NOALI,NIL
holds,,NOALI,NIL
US,US House,REL,3
,backs,NOALI,NIL
,before Iran inauguration,NOALI,NIL
set,,NOALI,NIL
,new sanctions,NOALI,NIL
for Obama inauguration,,NOALI,NIL
in attacks,in attacks,EQUI,5
in Iraq,across Iraq,EQUI,5
killed,killed,EQUI,5
7,27,SIMI,2
injured,injured,EQUI,5
25,12,SIMI,2
",",,NOALI,NIL
in NW Pakistan,in NW Pakista,EQUI,5
,",",NOALI,NIL
12,6,SIMI,2
in bomb blast,in blast,SPE1,4
killed,killed,EQUI,5
,to be sentenced,NOALI,NIL
`,,NOALI,NIL
to be dispersed,,NOALI,NIL
',,NOALI,NIL
,Abduction teacher,NOALI,NIL
Egypt protesters,,NOALI,NIL
,deny,NOALI,NIL
,protecting,NOALI,NIL
Turkish police,British police,SIMI,2
mass,,NOALI,NIL
,sex abuser Savile,NOALI,NIL
near Istanbul park protest area,,NOALI,NIL
to join,,NOALI,NIL
,to name,NOALI,NIL
Syria opposition vote,Syrian opposition,REL,3
,delegation,NOALI,NIL
hails,,NOALI,NIL
peace talks,for talks,SPE1,4
West,,NOALI,NIL
in rebel-held town,,NOALI,NIL
kills,kills,EQUI,5
Syria car bomb,Sinai car bomb,SIMI,2
at least 12,at least 10 Egyptian soldiers,SPE2,2
hits,rises,EQUI,5
359,to 72,SIMI,2
Bangladesh building collapse death toll,Indian building collapse death toll,SPE1,4
,block,NOALI,NIL
,Sudanese police,NOALI,NIL
,at human rights commission,NOALI,NIL
ambush,,NOALI,NIL
police boat,,NOALI,NIL
in Nigeria oil region,,NOALI,NIL
,protest,NOALI,NIL
Gunmen,,NOALI,NIL
in Afghanistan,in NW Pakistan,SIMI,3
killed,killed,EQUI,5
in `` insider '' attack,in bomb attack,SIMI,3
Two U.S. soldiers,8 soldiers,SPE1,2
,officials,NOALI,NIL
Blast,Blast,EQUI,5
kills,kills,EQUI,5
10 young girls,nine,SPE1,3
in eastern Afghanistan,in southern Afghanistan,SIMI,3
,,NOALI,NIL
at sea,at sea,EQUI,5
could end up,to destroy,SIMI,3
,US,NOALI,NIL
Syria 's chemical weapons,Syria chemical weapon stockpile,SPE2,4
freed,,NOALI,NIL
in center abuse probe,,NOALI,NIL
,Three storey building collapses,NOALI,NIL
Three,,NOALI,NIL
,in Ebute Meta,NOALI,NIL
in Pakistan,in Pakistan,EQUI,5
Gunmen,Gunmen,EQUI,5
kill,kill,EQUI,5
female politician,5 female teachers,SPE2,3
Kardashian Divorce,,NOALI,NIL
Ready,ready,EQUI,5
,for price war,NOALI,NIL
for Trial,,NOALI,NIL
,Hard-hit hotels,NOALI,NIL
surgery,surgery,EQUI,5
Nelson Mandela,Nelson Mandela,EQUI,5
,',NOALI,NIL
,',NOALI,NIL
undergoes,undergoes,EQUI,5
to audit,,NOALI,NIL
,US arms sales,NOALI,NIL
US regulators,,NOALI,NIL
records,,NOALI,NIL
gives,,NOALI,NIL
,to Taiwan,NOALI,NIL
access,,NOALI,NIL
China,China,EQUI,5
,opposes,NOALI,NIL
Dzhokhar Tsarnaev,Dzhokhar Tsarnaev,EQUI,5
to Boston bombing charges,in Boston Marathon bombing,SPE2,4
pleads not guilty,charged,REL,3
driver,,NOALI,NIL
P.G. police,Police,SPE1,4
,'s Day parade shooting,NOALI,NIL
,in New Orleans Mother,NOALI,NIL
that killed,,NOALI,NIL
child,,NOALI,NIL
seeking,seek,EQUI,5
,gunmen,NOALI,NIL
in crash,,NOALI,NIL
,public,NOALI,NIL
Pentagon,,NOALI,NIL
for more intense attacks,,NOALI,NIL
on Syria,,NOALI,NIL
adjusts,,NOALI,NIL
,Pope,NOALI,NIL
,for joining,NOALI,NIL
,thanks,NOALI,NIL
plans,,NOALI,NIL
,his Syria vigil,NOALI,NIL
pushes,,NOALI,NIL
Egyptian army,Egypt 's Morsi,REL,3
kidnappers,,NOALI,NIL
,as hostage video,NOALI,NIL
,rules out,NOALI,NIL
to attack,,NOALI,NIL
,talks,NOALI,NIL
,appears,NOALI,NIL
Saturday 27th April,Saturday 27th April,EQUI,5
,-,NOALI,NIL
Cryptic crossword,Quiz crossword,EQUI,5
-,,NOALI,NIL
of breast cancer,about breast cancer,EQUI,5
Angelina Jolie,Angelina Jolie and the complex truth,SPE2,3
's aunt,,NOALI,NIL
dies,,NOALI,NIL
,dies,NOALI,NIL
,",",NOALI,NIL
from Israeli prison,in Israel jails,SIMI,4
,of cancer,NOALI,NIL
,unrest,NOALI,NIL
26 Palestinian prisoners,Palestinian prisoner,SPE2,3
released,,NOALI,NIL
"evacuation of 5,000",mop-up operations,SPE1,3
,continues,NOALI,NIL
claims,,NOALI,NIL
near Damascus,near Damascus,EQUI,5
Syria regime,Syria army,REL,3
village,,NOALI,NIL
killed,Killed,EQUI,5
,in India,NOALI,NIL
Twelve,Five,SIMI,3
raid,in Blasts,SIMI,3
as gunmen,,NOALI,NIL
to Snowden,to Snowden,EQUI,5
,if asked,NOALI,NIL
,says,NOALI,NIL
,'s Morales,NOALI,NIL
asylum,asylum,EQUI,5
offer,would grant,EQUI,5
"Nicaragua , Venezuela",Bolivia,SIMI,2
,he,NOALI,NIL
,",",NOALI,NIL
Hostage drama,,NOALI,NIL
,2 hurt,NOALI,NIL
,Nevada,NOALI,NIL
,2 dead,NOALI,NIL
after Alabama school bus shooting,in middle school shooting,SIMI,1
drags on,,NOALI,NIL
,,NOALI,NIL
",",,NOALI,NIL
,,NOALI,NIL
injured,injured,EQUI,5
,media,NOALI,NIL
50,138,SIMI,2
killed,killed,EQUI,5
5,3,SIMI,4
,",",NOALI,NIL
in Pakistan blast,in Boston blasts,SIMI,2
to strengthen,to strengthen,EQUI,5
,scientific research ties,NOALI,NIL
Miliband,,NOALI,NIL
minimum wage,,NOALI,NIL
,Portugal-China,NOALI,NIL
pledges,,NOALI,NIL
waiting,,NOALI,NIL
of appeal,,NOALI,NIL
,for renewal,NOALI,NIL
,in striving,NOALI,NIL
,for China,NOALI,NIL
,New glories,NOALI,NIL
for result,,NOALI,NIL
Sniper,,NOALI,NIL
,to Nowhere,NOALI,NIL
,Face,NOALI,NIL
,a Route,NOALI,NIL
occupied Palestinian territory,occupied Palestinian territory,EQUI,5
Palestinians,Palestinians,EQUI,5
US peace talks blueprint,,NOALI,NIL
,,NOALI,NIL
rebuff,,NOALI,NIL
,,NOALI,NIL
,Hamas senior,NOALI,NIL
,denies,NOALI,NIL
,",",NOALI,NIL
on peace talks,on peace talks,EQUI,5
stances,,NOALI,NIL
coordinate,coordinated,EQUI,5
"Palestinians , Jordan",PA,REL,2
,Gaza,NOALI,NIL
5,at least ten,SPE1,3
in Pakistan,in Pakistan,EQUI,5
kills,kills,EQUI,5
Suspected U.S. drone strike,US drone strike,EQUI_FACT,4
to dispute,cop on,REL,3
murder charge,seven attempted murder charges,SPE2_FACT,3
` Blade Runner ' Pistorius,Pistorius,SPE1,4
detain,,NOALI,NIL
,on line,NOALI,NIL
Israeli forces,,NOALI,NIL
,Israeli credibility,NOALI,NIL
in Hebron arrest raid,,NOALI,NIL
,over Iran nuclear challenge,NOALI,NIL
2,,NOALI,NIL
,North Korean test ban,NOALI,NIL
,pressing,NOALI,NIL
amid violent protests,,NOALI,NIL
swears in,,NOALI,NIL
president,Former New Mexico Gov. Richardson,SPE2,3
Mexico,Former New Mexico Gov. Richardson,REL,3
killed,killed,EQUI,5
",",,NOALI,NIL
in clashes,in clashes,EQUI,5
wounded,,NOALI,NIL
,,NOALI,NIL
scores,,NOALI,NIL
Four,Student,SPE2,2
,Egypt violence,NOALI,NIL
across Egypt,at Cairo 's Islamic university,SPE2,2
of all foreigners,,NOALI,NIL
Syrian opposition,,NOALI,NIL
,S Korea opposition candidate,NOALI,NIL
urges,,NOALI,NIL
,poll gap,NOALI,NIL
captured,,NOALI,NIL
to assist,,NOALI,NIL
in Syria,,NOALI,NIL
,closes,NOALI,NIL
in immediate release,,NOALI,NIL
RF FM,,NOALI,NIL
Afghan police 5 Taliban fighters,"5 Taliban , 5 Afghan police",SPE2,3
,in ambushes,NOALI,NIL
kill,killed,EQUI,5
Russia,,NOALI,NIL
,Britain,NOALI,NIL
,Could Use,NOALI,NIL
,Assad,NOALI,NIL
of Its Chemical Weapons Stockpile,Chemical Weapons,SIMI,3
,Sees,NOALI,NIL
,Evidence,NOALI,NIL
Destroys,,NOALI,NIL
Over 75 %,,NOALI,NIL
,for Mali ground combat,NOALI,NIL
set,,NOALI,NIL
Suarez,,NOALI,NIL
for Cup comeback,,NOALI,NIL
,French set,NOALI,NIL
Mixed reactions,legalizes,REL,2
to NZ same-sex marriage,New Zealand same-sex marriage,EQUI,5
Somalia 's Shebab,Syrian rebels,SIMI,2
claims,claim,EQUI,5
responsibility,responsibility,EQUI,5
,for killings,NOALI,NIL
for Nairobi mall attack,,NOALI,NIL
,in Lebanon,NOALI,NIL
,At Least Six Dead,NOALI,NIL
Search,,NOALI,NIL
,,NOALI,NIL
Glasgow Helicopter Crash,Glasgow Helicopter Crash,EQUI,5
Ends,,NOALI,NIL
Braces,issues red alert,REL,3
India,India,EQUI,5
for Massive Cyclone,for cyclone Phailin,SPE2,4
Many,Many,EQUI,5
killed,killed,EQUI,5
in Japan road tunnel collapse,,NOALI,NIL
,in Syrian air strike,NOALI,NIL
Singapore shares,Singapore shares,EQUI,5
open,open,EQUI,5
on Friday,on Thursday,SIMI,4
lower,higher,OPPO,4
11 Dead,kill 89,SIMI,2
Hit,,NOALI,NIL
Northwest China,in China,SPE1,4
",",,NOALI,NIL
Two Earthquakes,Twin quakes,SIMI,4
to pro-Morsi protests,after pro-Morsi protest,EQUI,5
,Child,NOALI,NIL
,,NOALI,NIL
,in Cairo clashes,NOALI,NIL
again,,NOALI,NIL
,killed,NOALI,NIL
Egypt ministry,Egypt,REL,3
end,,NOALI,NIL
urges,,NOALI,NIL
Kenyan forces,Kenyan forces,EQUI,5
caused,caused,EQUI,5
mall collapse,mall collapse,EQUI,5
,says,NOALI_FACT,NIL
,Official,NOALI,NIL
500,to 580,SIMI,4
passes,climbs,SPE2,4
,,NOALI,NIL
death toll,death toll,EQUI,5
Bangladesh building disaster,Bangladesh building collapse,EQUI,5
South Africa,South Africa,EQUI,5
taken,remains,REL,3
,,NOALI,NIL
's Mandela,Mandela,EQUI,5
to hospital,in hospital,EQUI,5
drag,drag,EQUI,5
stocks,stocks,EQUI,5
,on Wall Street,NOALI,NIL
lower,lower,EQUI,5
Weak earnings,Weak earnings,EQUI,5
Liquid ammonia leak,Liquid ammonia leak,EQUI,5
in Shanghai,in Shanghai,EQUI,5
15,at least 15,SPE1,4
kills,kills,EQUI,5
amid new sexting scandal,latest online sex scandal,SPE2,4
's race,,NOALI,NIL
in NYC mayor,,NOALI,NIL
stays,,NOALI,NIL
Weiner,Weiner,EQUI,5
,shrugs off,NOALI,NIL
defects,defects,EQUI,5
Syria military police chief,Syria military police chief,EQUI,5
to opposition,to rebels,SIMI,2
,Teenagers,NOALI,NIL
in Belgian coach crash,in Belgian bus crash,EQUI,5
Five killed,among 5 dead,EQUI,5
',,NOALI,NIL
,police,NOALI,NIL
,",",NOALI,NIL
Swiss tourist,Swiss tourist,EQUI,5
,say,NOALI_FACT,NIL
gang-raped,gang raped,EQUI,5
`,,NOALI,NIL
in India,in India,EQUI,5
strike,launches,EQUI,5
Israel planes,Israel airstrike,EQUI,5
inside Syria,into Syria,EQUI,5
to change,to changes,EQUI,5
at BoE,at Bank of England,EQUI,5
high bar,high bar,EQUI,5
Carney,Carney,EQUI,5
sets,sets,EQUI,5
kill,kill,EQUI,5
Gunmen,Gunmen,EQUI,5
in northern Pakistan,in Pakistan,SPE1,4
10 foreign tourists,11 foreign climbers,SPE2,4
Doctor Who,'s Doctor Who,EQUI,5
after 4 years,,NOALI,NIL
Matt Smith,Matt Smith,EQUI,5
to leave,quits,EQUI,5
,BBC,NOALI,NIL
China Yuan,China yuan,EQUI,5
to 6.168,to 6.1696,SIMI,4
Monday,Thursday,SIMI,3
Strengthens,strengthens,EQUI,5
against USD,against USD,EQUI,5
Ex-first lady Barbara Bush,Former first lady Barbara Bush,EQUI,5
leaves,leaves,EQUI,5
Texas hospital,hospital,SPE1,4
11,Eleven,EQUI,5
killed,killed,EQUI,5
in Chinese police station attack,in China police station attack,EQUI,5
50,50,EQUI,5
killed,killed,EQUI,5
crashes,crashes,EQUI,5
,",",NOALI,NIL
in Russia,in Russian city of Kazan,SPE2,4
Boeing airliner,Boeing airliner,EQUI,5
",",,NOALI,NIL
,",",NOALI,NIL
as New York mayor,as New York mayor,EQUI,5
succeeding,succeeding,EQUI,5
De Blasio,Bill De Blasio,EQUI,5
sworn in,sworn in,EQUI,5
Bloomberg,Michael Bloomberg,EQUI,5
",",,NOALI,NIL
from jail,from jail,EQUI,5
in Russia,,NOALI,NIL
Pussy Riot member Alyokhina,Pussy Riot member Maria Alyokhina,EQUI,5
released,freed,EQUI,5
at San Francisco airport,at San Francisco airport,EQUI,5
crash lands,crash lands,EQUI,5
Asiana jet,Plane,SPE1,4
"1,900",,NOALI,NIL
on the lines,,NOALI,NIL
,but,NOALI,NIL
to limit damage,,NOALI,NIL
,grows,NOALI,NIL
,,NOALI,NIL
California wildfire,California wildfire,EQUI,5
,officials,NOALI,NIL
,say,NOALI_FACT,NIL
as firefighters,fire crews,EQUI,5
-LRB- + video -RRB-,,NOALI,NIL
labor,making progress,SIMI,4
,after he,NOALI,NIL
responding,,NOALI,NIL
to treatment,,NOALI,NIL
hospitalized,hospitalised,EQUI,5
",",,NOALI,NIL
,talking,NOALI,NIL
Mandela,Mandela,EQUI,5
,stops,NOALI,NIL
army headquarters,army headquarters,EQUI,5
break into,storm,EQUI,5
Thai protesters,Thai protesters,EQUI,5
Egypt 's main opposition,Egypt opposition,SPE1,4
rejects,mulls response,SPE1,3
president 's call for dialogue,to Morsi dialogue call,EQUI,5
6.8 %,6.8 %,EQUI,5
starts up,Starts Up,EQUI,5
Housing in May,May Housing,EQUI,5
-RRB-,,NOALI_FACT,NIL
assumes,to Take Over,EQUI,5
's Castro,'s Castro,EQUI,5
Cuba,Cuba,EQUI,5
CELAC presidency,CELAC Presidency,EQUI,5
,still,NOALI,NIL
trapped,trapped,EQUI,5
feared,,NOALI,NIL
in India building collapse,in India building collapse,EQUI,5
Dozens,20,SPE2,3
,to find,NOALI,NIL
,Rescuers,NOALI,NIL
,race,NOALI,NIL
Cardinals,Cardinals,EQUI,5
Vatican,Sistine Chapel,SPE2,4
enter,enter,EQUI,5
for historic vote,to elect pope,SPE1,4
for speeding,for speeding,EQUI,5
Zimmerman,Zimmerman,EQUI,5
released,,NOALI,NIL
in Texas,in Texas,EQUI,5
stopped,pulled over,EQUI,5
with warning,given warning,EQUI,5
,",",NOALI,NIL
",",,NOALI,NIL
unveils,unveils,EQUI,5
to Pacific,to Pacific,EQUI,5
$ 30 billion oil link,$ 25bn oil link,EQUI,5
Russia,Russia,EQUI,5
hits,hits,EQUI,5
,,NOALI,NIL
CENC,,NOALI_FACT,NIL
Pakistan,SW Pakistan,SPE2,4
7.2-magnitude quake,7.7-magnitude earthquake,SIMI,4
zips,passes,SIMI,4
between Earth and satellites,Earth in fly-by,SPE1,3
Asteroid,Asteroid,EQUI,5
,Zimbabwe,NOALI,NIL
Mugabe,Mugabe,EQUI,5
declared,declared,EQUI,5
of disputed elections,in disputed vote,EQUI,5
winner,winner,EQUI,5
,,NOALI,NIL
Muslim Brotherhood,Muslim Brotherhood ` activities ',SPE2,4
bans,bans,EQUI,5
Egyptian court,Egypt court,EQUI,5
by the Spokesperson,by the spokesperson,EQUI,5
in Iraq,in Iraq,EQUI,5
on the latest spate,on the resumption,SIMI,4
,",",NOALI,NIL
of High Representative Catherine Ashton,"of the EU High Representative , Catherine Ashton",SPE2,4
of attacks,of executions,SPE2,4
Statement,Statement,EQUI,5
agains NSA leaker,against Snowden over leaks,EQUI,5
files,files,EQUI,5
espionage charges,espionage charges,EQUI,5
U.S.,US,EQUI,5
Chinese general,Chinese general,EQUI,5
's son,'s son,EQUI,5
gets,gets,EQUI,5
10 years jail,10 years ' jail,EQUI,5
for rape,for gang-rape,SPE2,4
Moderate earthquake,Moderate earthquake,EQUI,5
jolts,hits,EQUI,5
NW Pakistan,southern Pakistan,SIMI,3
on Morsi Supporters,on Mohamed Morsi supporters,EQUI,5
Backs,backs,EQUI,5
Iraq,Iraq,EQUI,5
Egypt Crackdown,Egypt crackdown,EQUI,5
"Hrithik Roshan , wife Sussanne","Hrithik Roshan , Sussanne",EQUI,5
part ways,to divorce,EQUI,5
in Russia plane crash,in Italy coach crash,SIMI,1
rises,rises,EQUI,5
Death toll,Death toll,EQUI,5
,to 39,NOALI,NIL
funeral,,NOALI,NIL
Suicide bomber,Suicide bomber,EQUI,5
hits,strikes,SIMI,4
in Iraq,in Syria,SIMI,2
,Keita,NOALI,NIL
Iranians,,NOALI,NIL
in Presidential Election,Mali Presidential Election,SPE2,3
,Wins,NOALI,NIL
Vote,,NOALI,NIL
in Pak,in NW Pakistan,SPE2,4
,killed,NOALI,NIL
,6,NOALI,NIL
against US drone strikes,in U.S. drone strike,EQUI,5
Protest,,NOALI,NIL
postponed,,NOALI,NIL
Suicide bomber,Suicide bombers,SIMI,4
in Afghanistan,in Afghanistan,EQUI,5
kills,attack,SPE1,4
3,,NOALI,NIL
at US base,US base,EQUI,5
,U.S. trade agency rules,NOALI,NIL
misses,,NOALI,NIL
",",,NOALI,NIL
iPhone,iPhone 4 imports,SPE2,2
again,,NOALI,NIL
,bans,NOALI,NIL
disappoints,,NOALI,NIL
,",",NOALI,NIL
Apple revenue,for Samsung,REL,3
killed,killed,EQUI,5
23,10,SIMI,3
in Iraq car bombings,in Iraq bomb attack,SPE1,4
survives,survives,EQUI,5
Egypt minister,Syrian prime minister,SIMI,2
assassination attempt,assassination attempt,EQUI,5
,',NOALI,NIL
,`,NOALI,NIL
's execution,executed,EQUI,5
2 dead,,NOALI,NIL
over Jamaat leader,Bangladesh Islamist leader,SIMI,4
in Bangladesh clashes over Jamaat leader,Bangladesh Islamist leader,REL,4
,,NOALI,NIL
540,"1,000",SIMI,3
hits,passes,SPE1,4
army,,NOALI,NIL
Bangladesh building collapse death toll,Bangladesh building collapse death toll,EQUI,5
China,China and Taiwan,SPE2,3
to resume,hold,SPE1,3
US investment talks,historic talks,SPE1,2
kills,kills,EQUI,5
soldiers,16,SPE1,1
Yemen suicide bombing,Female suicide bomber,SIMI,2
,at Russian station,NOALI,NIL
fire,fire,EQUI,5
protesters,at protesters,EQUI,5
to disperse,,NOALI,NIL
in Tunis,in Cairo,SIMI,2
tear gas,tear gas,EQUI,5
Police,Police,EQUI,5
Tokyo 2020 Olympic Games,in 2020 Tokyo Olympics,EQUI,5
,Wrestling,NOALI,NIL
to host,,NOALI,NIL
,to feature,NOALI,NIL
Nelson Mandela,Nelson Mandela,EQUI,5
taken,released,OPPO,4
to hospital,from hospital,OPPO,4
set,,NOALI,NIL
,loses,NOALI,NIL
of Abu Qatada,radical cleric Abu Qatada,SPE2,4
,bid,NOALI,NIL
to deport,to deport,EQUI,5
Britain,Britain,EQUI,5
Continue,,NOALI,NIL
as Thais Protest,Thai protest day,SPE2,4
,of polls,NOALI,NIL
in Bangkok,,NOALI,NIL
"Shots , Explosions","Gunshots , explosions",SPE2,4
,rock,NOALI,NIL
,ahead,NOALI,NIL
Heard,,NOALI,NIL
Kaesong access,,NOALI,NIL
,vows,NOALI,NIL
,to restart,NOALI,NIL
,nuclear facilities,NOALI,NIL
North Korea,North Korea,EQUI,5
blocks,,NOALI,NIL
in History,in History,EQUI,5
Today,Today,EQUI,5
,",",NOALI,NIL
",",,NOALI,NIL
April 23,Jan. 21,SIMI,3
of Talibanisation,About Israeli Airstrikes,REL,2
in Syria,in Syria,EQUI,5
Iran,"Russia , China",SPE2,2
,Concerned,NOALI,NIL
warns,,NOALI,NIL
's Rouhani,,NOALI,NIL
in Colo. home,in US home,SPE1,4
",",,NOALI,NIL
find,,NOALI,NIL
3 more dead,4 dead,SPE2,3
Police,after police,EQUI,5
kill,standoff,SPE1,3
,barricaded,NOALI,NIL
gunman,with gunman,EQUI,5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
